Type of election,Year,State,Constituency no,Constituency name,Constituency type,Turnout,Candidate name,Party/Alliance
Lok Sabha,2014,ANDHRA PRADESH,454,ADILABAD,ST,75.44,GOSAM NAGESH,TRS
Lok Sabha,2014,UTTAR PRADESH,736,AGRA,SC,58.98,DR. RAMSHANKAR KATHERIA,BJP
Lok Sabha,2014,GUJARAT,555,AHMEDABAD EAST,GEN,62.51,PARESH DAHYALAL RAWAL,BJP
Lok Sabha,2014,GUJARAT,543,AHMEDABAD WEST,SC,61.52,DR. SOLANKI KIRITBHAI PREMJIBHAI,BJP
Lok Sabha,2014,MAHARASHTRA,451,AHMEDNAGAR,GEN,62.87,GANDHI DILIPKUMAR MANSUKHLAL,BJP
Lok Sabha,2014,RAJASTHAN,707,AJMER,GEN,68.69,SANWAR LAL JAT,BJP
Lok Sabha,2014,UTTAR PRADESH,687,AKBARPUR,GEN,54.92,DEVENDRA SINGH ALIAS BHOLE SINGH,BJP
Lok Sabha,2014,MAHARASHTRA,483,AKOLA,GEN,59.43,DHOTRE SANJAY SHAMRAO,BJP
Lok Sabha,2014,KERALA,309,ALAPPUZHA,GEN,78.46,K.C. VENUGOPAL,INC
Lok Sabha,2014,KERALA,321,ALATHUR,SC,76.23,P.K. BIJU,CPI(M)
Lok Sabha,2014,UTTAR PRADESH,754,ALIGARH,GEN,59.36,SATISH KUMAR,BJP
Lok Sabha,2014,WEST BENGAL,708,ALIPURDUARS,ST,83.18,DASRATH TIRKEY,AITC
Lok Sabha,2014,UTTAR PRADESH,628,ALLAHABAD,GEN,53.5,SHYAMA CHARAN GUPTA,BJP
Lok Sabha,2014,UTTARAKHAND,804,ALMORA,SC,52.34,AJAY TAMTA,BJP
Lok Sabha,2014,RAJASTHAN,755,ALWAR,GEN,65.25,MAHANT CHAND NATH YOGI,BJP
Lok Sabha,2014,ANDHRA PRADESH,399,AMALAPURAM,SC,82.55,PANDULA RAVINDRA BABU,TDP
Lok Sabha,2014,HARYANA,806,AMBALA,SC,72.03,RATTAN LAL KATARIA,BJP
Lok Sabha,2014,UTTAR PRADESH,693,AMBEDKAR NAGAR,GEN,60.18,HARI OM PANDEY,BJP
Lok Sabha,2014,UTTAR PRADESH,690,AMETHI,GEN,52.38,RAHUL GANDHI,INC
Lok Sabha,2014,MAHARASHTRA,497,AMRAVATI,SC,62.31,ADSUL ANANDRAO VITHOBA,SHS
Lok Sabha,2014,GUJARAT,503,AMRELI,GEN,54.42,KACHHADIA NARANBHAI BHIKHABHAI,BJP
Lok Sabha,2014,PUNJAB,817,AMRITSAR,GEN,68.18,CAPTAIN AMARINDER SINGH,INC
Lok Sabha,2014,UTTAR PRADESH,780,AMROHA,GEN,70.96,KANWAR SINGH TANWAR,BJP
Lok Sabha,2014,ANDHRA PRADESH,419,ANAKAPALLE,GEN,81.92,MUTTAMSETTI SRINIVASA RAO,TDP
Lok Sabha,2014,GUJARAT,526,ANAND,GEN,64.86,PATEL DILIPBHAI MANIBHAI,BJP
