Type of election,Year,State,Constituency no,Constituency name,Constituency type,Position,Candidate name,Party/Alliance,Vote percent
Lok Sabha,2014,ASSAM,697,KALIABOR,GEN,1,GOURAV GOGOI,INC,38
Lok Sabha,2014,TAMIL NADU,342,KALLAKURICHI,GEN,4,DEVADASS. R,INC,4
Lok Sabha,2014,TAMIL NADU,351,KANCHEEPURAM,SC,4,VISWANATHAN P,INC,3
Lok Sabha,2014,ORISSA,475,KANDHAMAL,GEN,2,HARIHARA KARANA,INC,29
Lok Sabha,2014,HIMACHAL PRADESH,821,KANGRA,GEN,2,CHANDER KUMAR,INC,36
Lok Sabha,2014,CHHATTISGARH,476,KANKER,ST,2,FOOLODEVI NETAM,INC,42
Lok Sabha,2014,TAMIL NADU,300,KANNIYAKUMARI,GEN,2,VASANTHA KUMAR H.,INC,25
Lok Sabha,2014,KERALA,343,KANNUR,GEN,2,K SUDHAKARAN,INC,44
Lok Sabha,2014,UTTAR PRADESH,678,KANPUR,GEN,2,SRI PRAKASH JAISWAL,INC,30
Lok Sabha,2014,WEST BENGAL,506,KANTHI,GEN,4,KUNAL BANERJEE,INC,2
Lok Sabha,2014,RAJASTHAN,709,KARAULI-DHOLPUR,SC,2,LAKKHIRAM,INC,44
Lok Sabha,2014,ASSAM,602,KARIMGANJ,SC,3,LALIT MOHON SUKLABAIDYA,INC,26
Lok Sabha,2014,ANDHRA PRADESH,433,KARIMNAGAR,GEN,2,PONNAM PRABHAKAR,INC,27
Lok Sabha,2014,HARYANA,796,KARNAL,GEN,2,ARVIND KUMAR SHARMA,INC,20
Lok Sabha,2014,TAMIL NADU,327,KARUR,GEN,4,"JOTHIMANI, S.",INC,3
Lok Sabha,2014,KERALA,154,KASARAGOD,GEN,2,T.SIDDIQUE,INC,39
Lok Sabha,2014,UTTAR PRADESH,652,KAUSHAMBI,SC,4,MAHENDRA KUMAR,INC,4
Lok Sabha,2014,ORISSA,474,KENDRAPARA,GEN,2,DHARANIDHAR NAYAK,INC,34
Lok Sabha,2014,ORISSA,505,KEONJHAR,ST,3,MADHABA SARDAR,INC,18
Lok Sabha,2014,PUNJAB,816,KHADOOR SAHIB,GEN,2,HARMINDER SINGH GILL,INC,35
Lok Sabha,2014,MADHYA PRADESH,133,KHAJURAHO,GEN,2,RAJA PATERIYA,INC,26
Lok Sabha,2014,MADHYA PRADESH,529,KHANDWA,GEN,2,ARUN SUBHASH CHANDRA YADAV,INC,37
Lok Sabha,2014,MADHYA PRADESH,511,KHARGONE,ST,2,RAMESH CHENSINGH,INC,34
Lok Sabha,2014,GUJARAT,547,KHEDA,GEN,2,DINSHA JHAVARBHAI PATEL,INC,35
Lok Sabha,2014,UTTAR PRADESH,769,KHERI,GEN,3,ZAFAR ALI NAQVI,INC,17
Lok Sabha,2014,JHARKHAND,552,KHUNTI,ST,3,KALICHARAN MUNDA,INC,20
Lok Sabha,2014,BIHAR,681,KISHANGANJ,GEN,1,MOHAMMAD ASRARUL HAQUE,INC,53
Lok Sabha,2014,JHARKHAND,601,KODARMA,GEN,4,TILAKDHARI PRASAD SINGH,INC,6
Lok Sabha,2014,KARNATAKA,364,KOLAR,SC,1,K.H. MUNIYAPPA,INC,37
Lok Sabha,2014,WEST BENGAL,518,KOLKATA DAKSHIN ,GEN,4,MALA ROY,INC,10
Lok Sabha,2014,WEST BENGAL,524,KOLKATA UTTAR,GEN,4,SOMENDRA NATH MITRA,INC,14
Lok Sabha,2014,KARNATAKA,387,KOPPAL,GEN,2,BASAVARAJ,INC,45
Lok Sabha,2014,ORISSA,458,KORAPUT,ST,2,DR. GIRIDHAR GAMANG,INC,38
Lok Sabha,2014,CHHATTISGARH,574,KORBA,GEN,2,CHARAN DAS MAHANT,INC,41
Lok Sabha,2014,RAJASTHAN,646,KOTA,GEN,2,IJYARAJ SINGH,INC,38
Lok Sabha,2014,KERALA,335,KOZHIKODE,GEN,1,M.K. RAGHAVAN,INC,42
Lok Sabha,2014,TAMIL NADU,350,KRISHNAGIRI,GEN,4,CHELLAKUMAR. DR. A,INC,4
Lok Sabha,2014,WEST BENGAL,1,KRISHNANAGAR,GEN,4,RAZIA AHMED,INC,6
Lok Sabha,2014,ANDHRA PRADESH,384,KURNOOL,GEN,3,KOTLA JAYA SURYA PRAKASH REDDY,INC,11
